选手编号,评委一,打分一,评委二,打分二,评委三,打分三
1,Judge_248,75,Judge_171,33,Judge_5,77
2,Judge_39,60,Judge_207,38,Judge_63,74
3,Judge_244,99,Judge_171,49,Judge_89,93
4,Judge_163,76,Judge_221,44,Judge_142,92
5,Judge_206,70,Judge_112,100,Judge_260,70
6,Judge_65,34,Judge_119,43,Judge_129,65
7,Judge_163,33,Judge_206,86,Judge_7,72
8,Judge_10,89,Judge_153,85,Judge_253,98
9,Judge_168,41,Judge_214,74,Judge_31,67
10,Judge_112,100,Judge_288,48,Judge_69,59
11,Judge_55,86,Judge_83,40,Judge_68,73
12,Judge_5,56,Judge_158,84,Judge_256,73
13,Judge_77,93,Judge_59,85,Judge_258,57
14,Judge_287,92,Judge_229,63,Judge_197,61
15,Judge_264,49,Judge_280,39,Judge_197,90
16,Judge_58,62,Judge_59,74,Judge_140,42
17,Judge_87,44,Judge_172,99,Judge_150,71
18,Judge_31,42,Judge_25,42,Judge_226,82
19,Judge_15,66,Judge_184,83,Judge_84,99
20,Judge_211,31,Judge_196,43,Judge_17,33
21,Judge_58,57,Judge_137,44,Judge_281,53
22,Judge_240,46,Judge_69,36,Judge_150,73
23,Judge_145,33,Judge_262,37,Judge_279,75
24,Judge_158,95,Judge_281,47,Judge_39,81
25,Judge_86,44,Judge_178,53,Judge_2,83
26,Judge_81,61,Judge_276,62,Judge_157,47
27,Judge_291,59,Judge_246,62,Judge_191,96
28,Judge_176,93,Judge_106,100,Judge_133,91
29,Judge_24,94,Judge_250,92,Judge_279,67
30,Judge_261,48,Judge_55,78,Judge_145,70
31,Judge_116,78,Judge_42,99,Judge_37,100
32,Judge_184,62,Judge_29,76,Judge_65,73
33,Judge_72,36,Judge_266,89,Judge_225,97
34,Judge_270,70,Judge_63,90,Judge_272,72
35,Judge_110,70,Judge_2,61,Judge_296,40
36,Judge_89,90,Judge_120,67,Judge_86,66
37,Judge_114,85,Judge_261,90,Judge_74,68
38,Judge_273,72,Judge_101,56,Judge_65,65
39,Judge_32,67,Judge_15,69,Judge_143,45
40,Judge_193,45,Judge_121,91,Judge_285,93
41,Judge_9,56,Judge_221,77,Judge_127,32
42,Judge_276,71,Judge_147,84,Judge_159,67
43,Judge_19,65,Judge_73,85,Judge_134,67
44,Judge_66,94,Judge_285,49,Judge_63,98
45,Judge_45,91,Judge_50,59,Judge_238,42
46,Judge_260,58,Judge_111,62,Judge_216,43
47,Judge_278,49,Judge_151,96,Judge_295,58
48,Judge_288,87,Judge_40,32,Judge_236,88
49,Judge_227,53,Judge_58,48,Judge_191,58
50,Judge_28,98,Judge_299,79,Judge_8,41
51,Judge_79,94,Judge_223,85,Judge_222,53
52,Judge_106,84,Judge_84,69,Judge_286,67
53,Judge_287,56,Judge_132,51,Judge_34,68
54,Judge_296,85,Judge_14,91,Judge_75,94
55,Judge_266,71,Judge_241,60,Judge_151,83
56,Judge_122,83,Judge_14,89,Judge_275,51
57,Judge_187,47,Judge_92,61,Judge_163,96
58,Judge_72,59,Judge_243,93,Judge_240,59
59,Judge_272,72,Judge_93,64,Judge_83,81
60,Judge_220,62,Judge_176,45,Judge_166,58
61,Judge_166,76,Judge_214,73,Judge_215,70
62,Judge_113,67,Judge_141,44,Judge_200,91
63,Judge_170,94,Judge_278,72,Judge_236,40
64,Judge_96,97,Judge_152,77,Judge_11,47
65,Judge_215,76,Judge_237,35,Judge_251,33
66,Judge_250,69,Judge_136,79,Judge_158,75
67,Judge_293,70,Judge_278,92,Judge_206,49
68,Judge_267,30,Judge_106,67,Judge_298,94
69,Judge_42,85,Judge_281,53,Judge_62,42
70,Judge_274,30,Judge_223,35,Judge_144,36
71,Judge_249,96,Judge_287,68,Judge_284,75
72,Judge_20,55,Judge_75,80,Judge_191,54
73,Judge_151,36,Judge_71,41,Judge_250,90
74,Judge_97,83,Judge_145,47,Judge_261,71
75,Judge_72,78,Judge_41,75,Judge_145,62
76,Judge_199,71,Judge_208,31,Judge_265,35
77,Judge_175,50,Judge_203,60,Judge_286,83
78,Judge_161,74,Judge_191,45,Judge_164,76
79,Judge_18,32,Judge_259,62,Judge_245,78
80,Judge_209,79,Judge_72,60,Judge_298,52
81,Judge_176,60,Judge_154,65,Judge_231,71
82,Judge_222,55,Judge_189,37,Judge_143,74
83,Judge_279,67,Judge_45,76,Judge_8,73
84,Judge_247,79,Judge_198,99,Judge_34,83
85,Judge_19,92,Judge_245,58,Judge_86,83
86,Judge_102,74,Judge_138,33,Judge_240,62
87,Judge_282,95,Judge_153,32,Judge_161,79
88,Judge_107,47,Judge_198,64,Judge_274,100
89,Judge_233,73,Judge_118,54,Judge_13,68
90,Judge_65,97,Judge_167,96,Judge_56,34
91,Judge_35,54,Judge_201,73,Judge_26,50
92,Judge_201,47,Judge_17,33,Judge_48,32
93,Judge_296,45,Judge_221,95,Judge_290,33
94,Judge_247,47,Judge_291,55,Judge_25,40
95,Judge_75,56,Judge_84,59,Judge_41,66
96,Judge_121,39,Judge_92,53,Judge_20,83
97,Judge_18,31,Judge_276,60,Judge_297,31
98,Judge_109,67,Judge_233,93,Judge_128,47
99,Judge_49,30,Judge_161,70,Judge_295,51
100,Judge_127,70,Judge_95,68,Judge_64,40
