课程名字,课程类别,学分,分数
思想道德修养与法律基础,思政类,3,89
云计算应用与开发,专业选修课,3,96
社会计算,专业选修课,3,78
深度学习,专业选修课,3,75
人工智能导论,专业必修课,3,84
中国近代史纲要,思政类,3,97
数据结构与算法,学科基础课,5,82
开源软件设计与开发,专业选修课,3,81
网球（初）,体育类,1,81
大数据应用案例,专业必修课,3,91
极端性气候与陆地生态系统,公共任意选修类,2,78
电子商务,专业选修课,3,74
高等数学（二）,学科基础课,4,92
游泳（初）,体育类,1,75
计算机视觉,专业选修课,3,
离散数学,学科基础课,4,82
数据科学的数学基础,专业必修课,4,75
程序设计,学科基础课,4,84
足球（初）,体育类,1,100
线性代数,学科基础课,3,97
毛泽东思想和中国特色社会主义理论体系概论（一）,思政类,3,99
机器学习,专业选修课,3,88
位置服务,专业选修课,3,87
学术英语听说（一）,英语类,2,85
程序正义与经典案例解析,精品课程,2,76
环境可持续发展,公共任意选修类,2,76
数据挖掘,专业必修课,4,71
毛泽东思想和中国特色社会主义理论体系概论（二）,思政类,3,93
概率图模型,专业选修课,3,96
篮球（初）,体育类,1,77
高等统计选讲,专业选修课,3,87
推荐系统,专业选修课,3,97
智慧城市,专业选修课,3,77
