日期,时间,维度,经度,方向,距离,深度,烈度
2003.05.20,12:17:44 AM,39.04,40.38,west,0.1,10,0
2007.08.01,12:03:08 AM,40.79,30.09,west,0.1,5.2,4
1978.05.07,12:41:37 AM,38.58,27.61,south_west,0.1,0,0
1997.03.22,12:31:45 AM,39.47,36.44,south_west,0.1,10,0
2000.04.02,12:57:38 AM,40.8,30.24,south_west,0.1,7,0
2005.01.21,12:04:03 AM,37.11,27.75,south_west,0.1,32.8,0
2012.06.24,12:07:22 AM,38.75,43.61,south_west,0.1,9.4,4.5
1987.12.31,12:49:54 AM,39.43,27.98,south_east,0.1,26,0
2000.02.07,12:11:45 AM,40.05,34.07,south_east,0.1,1,0
2011.10.28,12:47:56 AM,38.76,43.54,south_east,0.1,3.1,4.2
2013.05.01,12:47:56 AM,37.31,37.11,south_east,0.1,9.5,3.5
1989.04.27,12:45:19 AM,37.04,28.04,south,0.1,9,0
1999.11.26,12:42:20 AM,37.77,38.54,south,0.1,13,0
1999.12.20,12:41:56 AM,40.86,30.99,south,0.1,9,0
1984.02.02,12:10:29 AM,37.21,30.81,north_west,0.1,15,0
2011.05.22,12:49:49 AM,39.13,29.04,north_west,0.1,7.2,3.9
1971.05.20,12:08:46 AM,37.72,30,north_east,0.1,5,0
1985.01.28,12:20:56 AM,38.85,29.06,north_east,0.1,4,0
1997.05.31,12:59:03 AM,39.89,39.79,north_east,0.1,26,0
2005.07.24,12:36:10 AM,36.96,36.03,north_east,0.1,22,4.1
1966.08.19,12:03:55 AM,39.21,41.4,east,0.1,14,4.7
1990.07.05,12:43:04 AM,37.87,29.18,east,0.1,5,0
1990.07.05,12:47:37 AM,37.87,29.18,east,0.1,6,0
1985.01.07,12:37:08 AM,39.24,27.8,west,0.2,5,0
1988.06.24,12:35:29 AM,39.51,26.19,west,0.2,14,0
1999.11.16,12:49:39 AM,40.7,31.63,west,0.2,4,0
2006.06.09,12:53:05 AM,39.67,38.99,west,0.2,3.3,0
1966.08.19,12:41:18 AM,39.13,41.48,south_west,0.2,50,4.7
1966.12.30,12:57:09 AM,40.74,30.74,south_west,0.2,31,4.3
1967.05.22,12:46:02 AM,36.59,29.35,south_west,0.2,54,4.6
1975.05.30,12:22:42 AM,38.75,27.6,south_west,0.2,9,4.2
1977.08.04,12:27:34 AM,39.06,29.48,south_west,0.2,0,0
1984.10.14,12:20:04 AM,38.75,27.6,south_west,0.2,10,0
1996.06.30,12:22:53 AM,40.89,36.63,south_west,0.2,31,0
1997.01.22,12:36:51 AM,36.25,36.09,south_west,0.2,18,0
1999.11.13,12:59:21 AM,40.9,31.09,south_west,0.2,2,0
2000.10.04,12:58:53 AM,37.9,28.95,south_west,0.2,8,0
2005.01.27,12:23:23 AM,37.78,44.23,south_west,0.2,9,0
2008.02.24,12:48:41 AM,37.31,38.6,south_west,0.2,9.5,0
2008.03.29,12:12:30 AM,40.61,34.76,south_west,0.2,8.5,4.5
2012.04.11,12:49:32 AM,39.49,27.98,south_west,0.2,7.2,3.9
2012.05.04,12:38:14 AM,40.31,27,south_west,0.2,12,4.3
1974.01.26,12:49:20 AM,37.25,29.6,south_east,0.2,34,4
1974.04.03,12:37:29 AM,38.34,27.4,south_east,0.2,5,0
1976.05.21,12:37:02 AM,39.28,29.16,south_east,0.2,24,4.4
1978.02.02,12:35:45 AM,40.42,30.15,south_east,0.2,0,0
1979.01.19,12:36:59 AM,39.91,39.6,south_east,0.2,11,0
1994.01.09,12:48:32 AM,38.88,27.89,south_east,0.2,4,0
1996.02.18,12:03:13 AM,37.17,27.64,south_east,0.2,5,0
1996.08.20,12:32:14 AM,40.68,35.34,south_east,0.2,2,0
1997.05.29,12:46:11 AM,38.23,41.48,south_east,0.2,0,0
1999.04.30,12:59:49 AM,40.73,33.02,south_east,0.2,1,0
1999.11.11,12:55:25 AM,40.88,30.3,south_east,0.2,11,0
2001.04.11,12:53:25 AM,37.19,36.51,south_east,0.2,14,0
2002.01.23,12:22:11 AM,38.64,27.82,south_east,0.2,8,0
2007.02.09,12:02:12 AM,38.43,39.06,south_east,0.2,5.3,0
2007.02.15,12:49:15 AM,38.8,40.07,south_east,0.2,5,3.7
2017.02.06,12:03:32 AM,39.53,26.12,south_east,0.2,10.8,3.6
1993.09.03,12:48:31 AM,40.14,27.25,south,0.2,10,0
1994.07.30,12:28:50 AM,39.12,27.18,south,0.2,5,0
2006.07.19,12:26:19 AM,38.35,39.08,south,0.2,7,3.8
2014.10.21,12:03:56 AM,38.18,27.11,south,0.2,17.7,4.1
1967.08.14,12:34:20 AM,40.68,30.27,north_west,0.2,33,4.2
1970.04.10,12:13:49 AM,39.13,29.31,north_west,0.2,10,4.2
1970.04.10,12:14:40 AM,39.13,29.31,north_west,0.2,22,4.2
1974.01.06,12:37:24 AM,38.28,42.92,north_west,0.2,28,4.4
1981.07.23,12:35:28 AM,40.3,28.94,north_west,0.2,7,0
1984.04.04,12:41:43 AM,40.43,42.14,north_west,0.2,45,0
1996.11.06,12:49:08 AM,38.71,40.4,north_west,0.2,22,0
1999.08.17,12:02:12 AM,40.77,31.11,north_west,0.2,16,0
2003.10.20,12:27:00 AM,38.91,43.66,north_west,0.2,9,0
2003.12.24,12:30:48 AM,40.29,41.38,north_west,0.2,10,0
2005.08.29,12:33:48 AM,40.52,36.83,north_west,0.2,5,4.2
2008.07.12,12:54:03 AM,39.28,41.72,north_west,0.2,5,4
2011.11.06,12:30:54 AM,38.74,43.45,north_west,0.2,6,3.9
2013.08.31,12:49:43 AM,39.4,28.23,north_west,0.2,1.7,3.6
2017.02.28,12:26:40 AM,39.48,26.06,north_west,0.2,12.4,3.5
1984.04.01,12:23:54 AM,39.65,28.84,north_east,0.2,5,0
1988.10.26,12:10:28 AM,37.96,27.69,north_east,0.2,19,3.9
1989.01.02,12:25:46 AM,37.05,27.4,north_east,0.2,9,0
1989.01.03,12:38:48 AM,37.05,27.4,north_east,0.2,10,0
1989.09.28,12:13:15 AM,38.22,27.45,north_east,0.2,10,0
1990.04.25,12:17:34 AM,37.11,27.75,north_east,0.2,5,3.7
1997.06.09,12:59:31 AM,41.35,31.57,north_east,0.2,4,0
1998.11.11,12:33:55 AM,40.7,30,north_east,0.2,16,0
1999.11.12,12:16:00 AM,40.74,31.38,north_east,0.2,10,0
1999.11.13,12:10:00 AM,40.74,31.38,north_east,0.2,10,0
1999.11.15,12:44:43 AM,40.91,30.33,north_east,0.2,7,0
2003.09.01,12:43:09 AM,40.9,32.42,north_east,0.2,9,3.7
2005.03.04,12:06:07 AM,41.03,35.7,north_east,0.2,10.9,0
2011.05.21,12:43:08 AM,39.1,29.03,north_east,0.2,4.8,3.8
2011.10.24,12:06:31 AM,38.91,43.66,north_east,0.2,5,3.5
2011.11.24,12:56:00 AM,38.98,43.58,north_east,0.2,5,3.7
2012.10.30,12:48:14 AM,37.31,37.13,north_east,0.2,3,3.6
2017.07.15,12:00:31 AM,38.17,43.23,north_east,0.2,2.1,3.3
2006.01.05,12:47:45 AM,38.27,38.81,north,0.2,7.2,0
1997.03.01,12:31:43 AM,40.76,35.4,east,0.2,3,0
1949.05.13,12:14:07 AM,40.94,32.71,west,0.3,20,5
1974.10.07,12:40:51 AM,41.08,27.9,west,0.3,5,0
1984.08.18,12:04:49 AM,38.63,27.65,west,0.3,10,3.7
