Release Date,Season,Episode,Episode Title,Name,Sentence
2011-04-17,Season 1,Episode 1,Winter is Coming,waymar royce,"What do you expect? They're savages. One lot steals a goat from another lot and before you know it, they're ripping each other to pieces."
2011-04-17,Season 1,Episode 1,Winter is Coming,will,"I've never seen wildlings do a thing like this. I've never seen a thing like this, not ever in my life."
2011-04-17,Season 1,Episode 1,Winter is Coming,waymar royce,How close did you get?
2011-04-17,Season 1,Episode 1,Winter is Coming,will,Close as any man would.
2011-04-17,Season 1,Episode 1,Winter is Coming,gared,We should head back to the wall.
2011-04-17,Season 1,Episode 1,Winter is Coming,royce,Do the dead frighten you?
2011-04-17,Season 1,Episode 1,Winter is Coming,gared,Our orders were to track the wildlings. We tracked them. They won't trouble us no more.
2011-04-17,Season 1,Episode 1,Winter is Coming,royce,You don't think he'll ask us how they died? Get back on your horse.
2011-04-17,Season 1,Episode 1,Winter is Coming,will,Whatever did it to them could do it to us. They even killed the children.
2011-04-17,Season 1,Episode 1,Winter is Coming,royce,"It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again."
2011-04-17,Season 1,Episode 1,Winter is Coming,royce,Your dead men seem to have moved camp.
2011-04-17,Season 1,Episode 1,Winter is Coming,will,They were here.
2011-04-17,Season 1,Episode 1,Winter is Coming,gared,See where they went.
2011-04-17,Season 1,Episode 1,Winter is Coming,royce,What is it?
2011-04-17,Season 1,Episode 1,Winter is Coming,gared,It's …
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Go on. Father's watching.
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,And your mother.
2011-04-17,Season 1,Episode 1,Winter is Coming,septa mordane,"Fine work, as always. Well done."
2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Thank you.
2011-04-17,Season 1,Episode 1,Winter is Coming,septa mordane,I love the detail that you've managed to get in this corners. … Quite beautiful … the stitching …
