年,月,日,时,分,秒,col1,col2
1930,4,15,17,43,6,1,-2
1944,11,11,21,46,14,0,-2
1954,11,10,15,1,22,0,-1
1953,4,6,22,11,20,1,2
1956,3,3,17,5,23,0,-5
1903,3,6,5,38,17,0,2
1927,6,8,19,41,8,0,2
1902,8,28,21,26,21,0,-4
1920,6,8,3,59,19,1,0
1954,4,6,0,28,33,0,1
1958,12,6,21,58,41,0,5
1963,2,13,8,8,13,1,-3
1932,3,15,22,22,27,0,5
1962,1,1,1,42,1,0,2
1934,9,7,4,52,57,0,-2
1935,5,28,18,23,34,1,2
1924,1,17,2,51,40,1,0
1974,3,28,12,38,22,1,-4
1993,12,4,17,8,12,1,1
1959,2,4,4,39,27,1,2
1941,5,4,9,4,29,1,4
1931,10,28,8,25,18,1,5
1961,6,4,5,17,15,0,-3
1940,3,21,6,56,39,0,-5
1980,3,7,2,4,16,0,2
1903,3,25,0,34,14,1,0
1982,4,21,6,4,53,0,-3
1963,10,16,23,0,55,0,-5
1910,10,9,6,5,22,1,-3
1958,3,6,5,54,2,1,-2
1924,5,15,10,7,21,1,4
1945,1,17,19,45,18,1,0
2000,11,10,2,12,56,1,5
1943,12,18,12,47,58,0,2
1941,3,8,1,31,35,0,-3
1923,1,18,12,21,5,1,2
1960,12,6,23,5,16,0,2
1938,4,25,1,47,4,1,0
1912,10,13,2,53,29,0,4
1903,8,12,2,0,35,1,-3
1968,7,10,7,26,46,0,-5
1954,8,24,8,43,1,0,-1
1974,8,9,6,55,53,0,3
1976,8,20,11,14,28,0,3
1982,2,11,1,21,25,0,-4
1962,10,18,8,59,33,0,3
1917,9,15,1,49,13,0,4
1978,11,21,19,27,34,0,4
1903,3,9,1,51,35,0,0
1999,12,8,17,7,11,0,-3
1963,4,9,6,4,30,0,-5
1959,11,7,18,53,8,1,-5
1942,8,17,20,23,54,0,2
1952,10,28,1,36,9,1,0
1995,7,7,2,29,5,1,1
1953,1,16,5,20,15,0,-3
1933,9,8,11,25,21,1,-3
1923,4,24,10,51,42,1,-2
1968,7,20,5,32,13,0,-2
1983,8,25,12,6,44,0,-1
1909,6,25,14,11,46,1,-4
1949,5,22,17,46,37,0,0
1990,6,2,16,29,56,0,5
1934,1,5,23,54,40,0,1
1999,11,19,21,27,45,1,1
1971,5,5,9,44,7,1,0
1979,10,18,13,33,21,0,-2
1943,2,20,4,27,46,1,2
1987,12,16,9,58,47,1,-2
1980,11,16,22,38,6,1,0
1923,6,4,12,14,23,0,1
1922,2,15,1,19,56,1,0
1943,1,23,14,40,44,0,4
1918,1,20,0,29,7,1,4
1966,7,27,0,49,3,0,-5
1933,3,9,5,33,28,0,-1
1907,10,17,15,11,10,1,-1
1999,1,9,18,21,29,1,1
1950,5,25,20,36,23,1,1
1966,6,22,9,50,56,1,1
1988,2,24,19,26,21,1,5
1908,2,10,11,41,26,0,-5
1925,12,9,14,56,42,1,-1
1909,4,1,8,4,58,1,1
1928,4,8,15,7,56,0,5
1918,6,22,8,7,21,0,-5
1998,2,9,12,24,12,0,-2
1941,9,1,4,47,50,0,1
