Airport name,Year,January,February,March,April,May,June,July,August,September,October,November,December,Whole year,Airport coordinates
Abakan,2019,44.7,66.21,72.7,75.82,100.34,78.38,63.88,73.06,66.74,75.44,110.5,89.8,917.57,"(Decimal('91.399735'), Decimal('53.751351'))"
Aikhal,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('111.543324'), Decimal('65.957161'))"
Loss,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('125.398355'), Decimal('58.602489'))"
Amderma,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('61.577429'), Decimal('69.759076'))"
Anadyr (Carbon),2019,81.63,143.01,260.9,304.36,122,106.87,84.99,130,102,118,94,199,1746.76,"(Decimal('177.738273'), Decimal('64.713433'))"
Anapa (Vitjazevo),2019,45.92,53.15,54,54.72,52,67.45,172.31,72.57,70,63,69,82.1,856.22,"(Decimal('37.341511'), Decimal('45.003748'))"
Apatite (Khibiny),2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('33.581999'), Decimal('67.459641'))"
Arkhangelsk (Vaskovo),2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('40.706789'), Decimal('64.592645'))"
Arkhangelsk (Talagy),2019,85.61,118.7,131.39,144.82,137.95,140.18,128.56,135.68,124.75,139.6,210.27,307.1,1804.61,"(Decimal('40.714892'), Decimal('64.596138'))"
Astrakhan (Narimanovo),2019,51.75,61.08,65.6,71.84,71.38,63.95,164.86,79.46,85.21,87.23,79.06,99.16,980.58,"(Decimal('47.999896'), Decimal('46.287344'))"
Trip,2019,1.36,2.7,3.52,3.42,2.09,2.42,1.79,2.08,3.81,3.46,1.94,1.54,30.13,"(Decimal('138.042241'), Decimal('56.431311'))"
Baykit,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('96.366763'), Decimal('61.681612'))"
Barnaul (Titov Name),2019,157.3,203.6,226.1,227.4,195.4,232.8,221.2,232.98,243.9,271.4,253.06,309.6,2774.74,"(Decimal('83.547723'), Decimal('53.361377'))"
In Salah,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('130.399707'), Decimal('67.792415'))"
white Mountain,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('146.228094'), Decimal('68.553931'))"
Belgorod,2019,2.47,5.07,4.13,4.29,4.93,32.4,35.29,6.16,6.36,8.85,6.09,7.83,123.87,"(Decimal('36.570541'), Decimal('50.645157'))"
Novy Urengoy,2019,6,2.9,3.5,14.3,7.3,6.4,7.4,8.3,5.5,6.9,9.8,12.3,90.6,"(Decimal('66.694583'), Decimal('63.697412'))"
Belushi,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('47.623466'), Decimal('66.887693'))"
Usinsk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('65.046174'), Decimal('63.927111'))"
Beringovsky (Branch PCF "A / P Chukotka"),2019,0,0,0,0,1,2,6,6,1,1,3,1,21,"(Decimal('179.293427'), Decimal('63.025373'))"
Blagoveshchensk (Ignatevo),2019,163.6,224.5,286.4,283,213.9,212.8,243.6,267.3,272.4,279.3,243.8,289.4,2980,"(Decimal('127.407536'), Decimal('50.42238'))"
Bovanenkovo,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('68.338149'), Decimal('70.319169'))"
Bogorodskoe,2019,0.04,0.1,0.02,0.09,0.05,0,0.22,0.02,0.11,0.01,0.14,1.2,2,"(Decimal('140.445792'), Decimal('52.376818'))"
Bodaybo,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('114.225855'), Decimal('57.857975'))"
Bratsk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('101.703088'), Decimal('56.365054'))"
Bryansk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('34.182693'), Decimal('53.213493'))"
Bugulma,2019,3.17,2.08,1.3,1.61,2.87,0.87,2.11,1.75,1.57,2.04,2.28,1.97,23.62,"(Decimal('52.790306'), Decimal('54.634026'))"
Vanavara,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('102.303298'), Decimal('60.351026'))"
Varandey,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('58.202862'), Decimal('68.846223'))"
Верхневилюйск,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('120.278784'), Decimal('63.457425'))"
Vizhas,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('45.901117'), Decimal('66.637077'))"
Viljujsk,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('121.691798'), Decimal('63.754713'))"
Vladivostok (Knevichi),2019,1368.77,1587.26,1737.37,1687.58,1614.51,1594.3,1801.42,1946.15,1932.64,2002.59,1962.91,2206.11,21441.61,"(Decimal('132.165103'), Decimal('43.396702'))"
Vladikavkaz (Beslan),2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('44.604633'), Decimal('43.201857'))"
