课程名字,课程类别,学分,分数
高等数学（一）,学科基础课,4,99
数据科学与工程导论,学科基础课,3,
专业英语,学科基础课,2,100
概率论,学科基础课,3,99
计算机系统,专业必修课,4,80
数据科学与工程算法,专业必修课,3,99
操作系统,专业必修课,4,89
分布式模型与编程,专业必修课,4,81
数据管理系统,专业必修课,6,70
统计与数据分析基础,专业必修课,4,82
商业分析,专业必修课,3,70
数据伦理,专业必修课,1,
设计思维,专业选修课,3,73
统计分析软件（R语言）,专业选修课,3,83
软件工程,专业选修课,3,91
数据仓库与OLAP,专业选修课,3,94
数据库系统实现,专业选修课,3,98
大数据处理工具,专业选修课,3,73
统计推断,专业选修课,3,75
信息检索,专业选修课,3,93
信息可视化,专业选修课,3,93
自然语言处理,专业选修课,3,80
统计学习,专业选修课,3,81
计算广告,专业选修课,3,99
前端设计与开发,专业选修课,3,90
学术英语听说（二）,英语类,2,92
学术英语阅读,英语类,2,72
学术英语写作,英语类,2,98
美国社会与文化,英语类,2,77
马克思主义基本原理概论,思政类,3,95
军事理论,思政类,2,87
大学语文,文化传承类,2,100
现代交通地理学,公共任意选修类,2,88
植物王国,公共任意选修类,2,92
