carat,cut,clarity,price
0.23,Ideal,SI2,326
0.21,Premium,SI1,326
0.23,Good,VS1,327
0.29,Premium,VS2,334
0.31,Good,SI2,335
0.24,Very Good,VVS2,336
0.24,Very Good,VVS1,336
0.26,Very Good,SI1,337
0.22,Fair,VS2,337
0.23,Very Good,VS1,338
0.3,Good,SI1,339
0.23,Ideal,VS1,340
0.22,Premium,SI1,342
0.31,Ideal,SI2,344
0.2,Premium,SI2,345
0.32,Premium,I1,345
0.3,Ideal,SI2,348
0.3,Good,SI1,351
0.3,Good,SI1,351
0.3,Very Good,SI1,351
0.3,Good,SI2,351
0.23,Very Good,VS2,352
0.23,Very Good,VS1,353
0.31,Very Good,SI1,353
0.31,Very Good,SI1,353
0.23,Very Good,VVS2,354
0.24,Premium,VS1,355
0.3,Very Good,VS2,357
0.23,Very Good,VS2,357
0.23,Very Good,VS1,357
0.23,Very Good,VS1,402
0.23,Very Good,VS1,402
0.23,Very Good,VS1,402
0.23,Very Good,VS1,402
0.23,Very Good,VS1,402
0.23,Good,VS1,402
0.23,Good,VS1,402
0.31,Good,SI1,402
0.26,Very Good,VS2,403
0.33,Ideal,SI2,403
0.33,Ideal,SI2,403
0.33,Ideal,SI1,403
0.26,Good,VS2,403
0.26,Good,VS1,403
0.32,Good,SI2,403
0.29,Premium,SI1,403
0.32,Very Good,SI2,403
0.32,Good,SI2,403
0.25,Very Good,VS2,404
0.29,Very Good,SI2,404
0.24,Very Good,SI1,404
0.23,Ideal,VS1,404
0.32,Ideal,SI1,404
0.22,Premium,VS2,404
0.22,Premium,VS2,404
0.3,Ideal,SI2,405
0.3,Premium,SI2,405
0.3,Very Good,SI1,405
0.3,Very Good,SI1,405
0.3,Good,SI1,405
0.35,Ideal,VS1,552
0.3,Premium,SI1,552
0.3,Ideal,SI1,552
0.3,Ideal,SI1,552
0.42,Premium,SI2,552
0.28,Ideal,VVS2,553
0.32,Ideal,VVS1,553
0.31,Very Good,SI1,553
0.31,Premium,SI1,553
0.24,Premium,VVS1,553
0.24,Very Good,VVS1,553
0.3,Very Good,SI1,554
0.3,Premium,SI1,554
0.3,Premium,SI1,554
0.3,Good,SI1,554
0.26,Very Good,VVS2,554
0.26,Very Good,VVS2,554
0.26,Very Good,VVS2,554
0.26,Very Good,VVS2,554
0.26,Very Good,VVS1,554
0.26,Very Good,VVS1,554
0.26,Very Good,VVS1,554
0.26,Ideal,VVS2,554
0.38,Ideal,SI2,554
0.26,Good,VVS1,554
0.24,Premium,VVS1,554
0.24,Premium,VVS1,554
0.24,Premium,VVS1,554
0.24,Premium,VVS2,554
0.32,Premium,SI1,554
0.7,Ideal,SI1,2757
0.86,Fair,SI2,2757
0.7,Ideal,VS2,2757
0.71,Very Good,VS2,2759
0.78,Very Good,SI2,2759
0.7,Good,VS2,2759
0.7,Good,VS1,2759
0.96,Fair,SI2,2759
0.73,Very Good,SI1,2760
0.8,Premium,SI1,2760
0.75,Very Good,SI1,2760
0.75,Premium,SI1,2760
0.74,Ideal,SI1,2760
0.75,Premium,VS2,2760
0.8,Ideal,VS1,2760
0.75,Ideal,SI1,2760
0.8,Premium,SI1,2760
0.74,Ideal,VVS2,2761
0.81,Ideal,SI2,2761
0.59,Ideal,VVS2,2761
0.8,Ideal,SI2,2761
0.74,Ideal,SI2,2761
0.9,Premium,VS2,2761
0.74,Very Good,SI1,2762
0.73,Ideal,VS2,2762
0.73,Ideal,VS2,2762
0.8,Premium,SI2,2762
0.71,Ideal,VS2,2762
0.7,Ideal,VS2,2762
0.8,Ideal,SI2,2762
0.71,Ideal,SI2,2762
0.74,Ideal,SI1,2762
0.7,Very Good,VS2,2762
0.7,Fair,VS2,2762
0.7,Fair,VS2,2762
0.7,Premium,VS2,2762
0.91,Premium,SI1,2763
0.61,Very Good,VVS2,2763
0.91,Fair,SI2,2763
0.91,Fair,SI2,2763
0.77,Ideal,VS2,2763
0.71,Very Good,SI1,2764
0.71,Ideal,SI1,2764
0.7,Very Good,VS2,2765
0.77,Very Good,VS1,2765
0.63,Premium,VVS1,2765
0.71,Very Good,VS1,2765
0.71,Premium,VS1,2765
0.76,Ideal,SI1,2765
0.64,Ideal,VVS1,2766
0.71,Premium,VS2,2766
0.71,Premium,VS2,2766
0.7,Very Good,VS2,2767
0.7,Very Good,VS1,2767
0.71,Ideal,SI2,2767
0.7,Good,VVS2,2767
0.71,Very Good,VS1,2768
0.73,Very Good,SI1,2768
0.7,Very Good,SI1,2768
0.7,Ideal,SI1,2768
0.71,Premium,SI2,2768
0.74,Ideal,SI1,2769
0.71,Premium,VS2,2770
0.73,Premium,VS2,2770
0.76,Very Good,SI1,2770
0.76,Ideal,SI2,2770
0.71,Ideal,SI1,2770
0.73,Premium,VS2,2770
0.73,Premium,VS1,2770
0.73,Ideal,SI2,2770
0.73,Premium,VS2,2770
0.72,Very Good,VVS2,2771
0.73,Very Good,SI1,2771
0.71,Ideal,VS2,2771
0.79,Ideal,SI2,2771
0.73,Very Good,VVS1,2772
0.8,Very Good,SI2,2772
0.58,Ideal,VVS1,2772
0.58,Ideal,VVS1,2772
0.71,Good,VS2,2772
0.75,Ideal,SI2,2773
0.7,Premium,VS2,2773
1.17,Very Good,I1,2774
0.6,Ideal,VS1,2774
0.7,Ideal,SI1,2774
0.83,Good,VS2,2774
0.74,Very Good,VS2,2775
0.72,Very Good,VS2,2776
0.71,Premium,VS2,2776
0.71,Ideal,VS2,2776
0.54,Ideal,VVS2,2776
0.54,Ideal,VVS2,2776
0.72,Ideal,SI1,2776
0.72,Ideal,SI1,2776
0.72,Good,VS2,2776
0.71,Ideal,SI1,2776
0.7,Very Good,VS1,2777
0.71,Premium,VS2,2777
0.71,Very Good,VS2,2777
0.71,Good,VS2,2777
0.71,Good,VS2,2777
0.7,Ideal,VS2,2777
0.7,Premium,VS2,2777
0.7,Premium,SI1,2777
0.7,Premium,SI1,2777
0.7,Premium,SI1,2777
0.7,Premium,SI1,2777
0.7,Premium,SI1,2777
0.7,Ideal,SI1,2777
0.72,Premium,SI1,2777
0.7,Very Good,SI1,2777
0.7,Premium,SI1,2777
0.7,Premium,SI1,2777
0.7,Good,VS2,2777
0.98,Fair,SI2,2777
0.78,Premium,SI1,2777
0.7,Very Good,SI1,2777
0.52,Ideal,VVS1,2778
0.73,Very Good,VS2,2779
0.74,Ideal,SI1,2779
0.7,Very Good,VS2,2780
0.77,Premium,VS2,2780
0.71,Ideal,VS2,2780
0.74,Ideal,VS1,2780
0.7,Ideal,VS1,2780
1.01,Premium,I1,2781
0.77,Ideal,SI1,2781
0.78,Ideal,SI1,2781
0.72,Very Good,VS1,2782
0.53,Very Good,VVS2,2782
0.76,Ideal,VS2,2782
0.7,Good,VS1,2782
0.7,Premium,VS1,2782
0.75,Very Good,SI2,2782
0.72,Ideal,SI1,2782
0.72,Premium,SI1,2782
0.7,Premium,SI1,2782
0.84,Fair,SI1,2782
0.75,Premium,SI1,2782
0.52,Ideal,IF,2783
0.72,Very Good,VS2,2784
0.79,Very Good,VS1,2784
0.72,Very Good,VS2,2787
0.51,Ideal,VVS1,2787
0.64,Ideal,VS1,2787
0.7,Very Good,VVS1,2788
0.83,Very Good,VS1,2788
0.76,Ideal,VVS2,2788
0.71,Good,VS2,2788
0.77,Good,VS1,2788
0.71,Ideal,SI1,2788
1.01,Fair,I1,2788
1.01,Premium,SI2,2788
0.77,Good,SI1,2789
0.76,Good,SI1,2789
0.76,Premium,SI1,2789
0.76,Premium,SI1,2789
1.05,Very Good,SI2,2789
0.81,Ideal,SI2,2789
0.7,Ideal,SI1,2789
0.55,Ideal,IF,2789
0.81,Good,SI2,2789
0.63,Premium,VVS2,2789
0.63,Premium,VVS1,2789
0.77,Premium,VS1,2789
1.05,Fair,SI2,2789
0.64,Ideal,IF,2790
0.76,Premium,VVS1,2790
0.83,Ideal,SI2,2790
0.71,Premium,VS1,2790
0.71,Premium,VS1,2790
0.87,Very Good,SI1,2791
0.73,Ideal,SI1,2791
0.71,Premium,SI1,2792
0.71,Premium,SI1,2792
0.71,Ideal,SI1,2792
0.7,Premium,VS1,2792
0.7,Premium,VS1,2792
0.76,Premium,VVS2,2792
0.7,Ideal,VS1,2792
0.79,Very Good,SI1,2793
0.7,Very Good,VS2,2793
0.7,Good,VS2,2793
0.76,Ideal,VS2,2793
0.73,Ideal,VS2,2793
0.79,Very Good,SI1,2794
0.71,Very Good,VS2,2795
0.81,Premium,VVS2,2795
0.81,Ideal,SI2,2795
0.72,Good,VS1,2795
0.72,Premium,SI2,2795
0.72,Premium,IF,2795
0.81,Premium,VS2,2795
0.72,Premium,VS2,2795
1,Premium,SI2,2795
0.73,Good,SI1,2796
0.81,Very Good,SI2,2797
0.81,Very Good,SI1,2797
0.71,Premium,SI1,2797
0.71,Premium,SI1,2797
0.71,Premium,SI1,2797
0.57,Ideal,VVS2,2797
0.51,Ideal,VVS1,2797
0.72,Ideal,VS2,2797
0.74,Ideal,VS1,2797
0.74,Ideal,VS1,2797
0.7,Fair,VVS1,2797
0.8,Premium,SI2,2797
1.01,Fair,SI2,2797
0.8,Very Good,VS2,2797
0.77,Ideal,VS1,2798
0.83,Very Good,SI2,2799
0.82,Ideal,SI2,2799
0.78,Ideal,SI1,2799
0.6,Very Good,IF,2800
0.9,Good,SI2,2800
0.7,Premium,VS1,2800
0.9,Very Good,SI2,2800
0.83,Ideal,SI1,2800
0.83,Ideal,SI1,2800
0.83,Very Good,SI1,2800
0.74,Premium,VS1,2800
0.79,Ideal,VS1,2800
0.61,Ideal,IF,2800
0.76,Fair,VS1,2800
0.96,Ideal,I1,2801
0.73,Ideal,VS2,2801
0.73,Premium,VS2,2801
0.75,Ideal,SI1,2801
0.71,Premium,VS2,2801
0.71,Good,VS2,2801
0.71,Good,VS2,2801
0.71,Premium,VS2,2801
1.04,Premium,I1,2801
1,Premium,SI2,2801
0.87,Very Good,SI2,2802
0.53,Ideal,IF,2802
0.72,Premium,VS2,2802
0.72,Premium,VS1,2802
0.7,Very Good,VS2,2803
0.74,Very Good,SI1,2803
0.71,Ideal,VS2,2803
0.73,Ideal,SI1,2803
0.7,Good,VS1,2803
0.71,Premium,VS2,2803
0.71,Premium,VS2,2803
0.71,Premium,VS1,2803
0.77,Premium,VS2,2803
0.71,Premium,VS2,2803
0.78,Premium,VS2,2803
0.71,Very Good,VS1,2803
0.91,Ideal,SI2,2803
0.71,Very Good,VS2,2804
0.71,Very Good,VS2,2804
0.8,Very Good,SI2,2804
0.7,Very Good,SI1,2804
0.72,Ideal,VS1,2804
0.72,Very Good,VS1,2804
0.82,Ideal,VS2,2804
0.7,Ideal,SI1,2804
0.72,Ideal,SI1,2804
0.72,Ideal,SI1,2804
0.9,Fair,SI1,2804
0.74,Premium,VS2,2805
0.74,Premium,VS2,2805
0.73,Ideal,SI2,2805
0.57,Fair,VVS1,2805
0.73,Premium,VS2,2805
0.72,Ideal,VS2,2805
0.74,Fair,VS2,2805
0.82,Good,VS2,2805
0.81,Very Good,SI1,2806
0.75,Very Good,VVS1,2806
0.7,Ideal,SI1,2806
0.71,Very Good,VS1,2807
0.71,Very Good,VS1,2807
0.93,Premium,SI2,2807
0.8,Very Good,VS2,2808
0.7,Very Good,VS1,2808
1,Fair,I1,2808
0.75,Very Good,VS2,2808
0.58,Ideal,VVS2,2808
0.73,Very Good,SI1,2808
0.81,Very Good,SI1,2809
0.81,Premium,SI2,2809
0.71,Premium,SI1,2809
