YYYY,State,COUNTY,SubstanceName,DrugReports
2010,VA,ACCOMACK,Propoxyphene,1
2010,OH,ADAMS,Morphine,9
2010,PA,ADAMS,Methadone,2
2010,VA,ALEXANDRIA CITY,Heroin,5
2010,PA,ALLEGHENY,Hydromorphone,5
2010,KY,ALLEN,Oxycodone,15
2010,KY,ALLEN,Oxymorphone,1
2010,VA,AMELIA,Heroin,1
2010,VA,ARLINGTON,Heroin,41
2010,PA,ARMSTRONG,Dextropropoxyphene,1
2010,OH,ASHLAND,Oxycodone,45
2010,OH,ASHLAND,Oxymorphone,2
2010,OH,ASHTABULA,Buprenorphine,7
2010,OH,ASHTABULA,Hydrocodone,21
2010,OH,ATHENS,Heroin,72
2010,OH,ATHENS,Propoxyphene,1
2010,OH,AUGLAIZE,Heroin,35
2010,OH,AUGLAIZE,Methadone,1
2010,OH,AUGLAIZE,Propoxyphene,2
2010,WV,BARBOUR,Oxycodone,1
2010,KY,BARREN,Morphine,3
2010,KY,BATH,Buprenorphine,1
2010,KY,BATH,Hydrocodone,7
2010,PA,BEDFORD,Hydrocodone,3
2010,VA,BEDFORD,Meperidine,1
2010,KY,BELL,Oxycodone,148
2010,KY,BELL,Oxymorphone,3
2010,WV,BERKELEY,Hydrocodone,6
2010,PA,BERKS,Morphine,5
2010,VA,BLAND,Propoxyphene,1
2010,KY,BOONE,Oxycodone,56
2010,WV,BOONE,Fentanyl,1
2010,KY,BRACKEN,Oxycodone,5
2010,WV,BRAXTON,Hydrocodone,35
2010,KY,BREATHITT,Methadone,13
2010,KY,BRECKINRIDGE,Morphine,1
2010,OH,BROWN,Fentanyl,1
2010,OH,BROWN,Heroin,14
2010,VA,BUCKINGHAM,Heroin,1
2010,VA,BUCKINGHAM,Methadone,2
2010,PA,BUCKS,Hydromorphone,5
2010,PA,BUCKS,Methadone,32
2010,KY,BULLITT,Hydromorphone,2
2010,OH,BUTLER,Buprenorphine,15
2010,OH,BUTLER,Hydrocodone,80
2010,PA,BUTLER,Oxycodone,9
2010,PA,BUTLER,Oxymorphone,2
2010,WV,CABELL,Oxycodone,116
2010,WV,CALHOUN,Oxycodone,1
2010,PA,CAMBRIA,Oxycodone,44
2010,PA,CAMERON,Heroin,1
2010,PA,CAMERON,Oxycodone,2
2010,PA,CARBON,Heroin,20
2010,PA,CARBON,Propoxyphene,1
2010,VA,CAROLINE,Hydrocodone,5
2010,VA,CAROLINE,Oxycodone,8
2010,KY,CARROLL,Heroin,8
2010,OH,CARROLL,Oxycodone,2
2010,KY,CARTER,Methadone,1
2010,KY,CASEY,Morphine,1
2010,VA,CHARLOTTESVILLE CITY,Buprenorphine,1
2010,VA,CHESAPEAKE CITY,Methadone,3
2010,PA,CHESTER,Heroin,95
2010,VA,CHESTERFIELD,Hydromorphone,5
2010,VA,CHESTERFIELD,Morphine,9
2010,KY,CHRISTIAN,Hydromorphone,7
2010,KY,CHRISTIAN,Morphine,3
2010,PA,CLARION,Heroin,35
2010,PA,CLEARFIELD,Buprenorphine,11
2010,OH,CLERMONT,Methadone,17
2010,OH,CLINTON,Methadone,5
2010,VA,COLONIAL HEIGHTS CITY,Morphine,2
2010,PA,COLUMBIA,Fentanyl,1
2010,PA,COLUMBIA,Heroin,29
2010,OH,COLUMBIANA,Heroin,34
2010,OH,COLUMBIANA,Methadone,1
2010,OH,CRAWFORD,Morphine,3
2010,PA,CRAWFORD,Dihydromorphone,1
2010,PA,CRAWFORD,Fentanyl,2
2010,PA,CRAWFORD,Propoxyphene,2
2010,KY,CRITTENDEN,Hydrocodone,8
2010,OH,CUYAHOGA,Methorphan,2
2010,OH,CUYAHOGA,Oxycodone,251
2010,OH,CUYAHOGA,Oxymorphone,4
2010,VA,DANVILLE CITY,Oxycodone,6
2010,PA,DAUPHIN,Codeine,3
2010,KY,DAVIESS,Codeine,1
2010,OH,DEFIANCE,Buprenorphine,2
2010,OH,DEFIANCE,Hydrocodone,9
2010,OH,DELAWARE,Hydromorphone,1
2010,PA,DELAWARE,Buprenorphine,97
2010,PA,DELAWARE,Hydrocodone,61
2010,VA,DICKENSON,Buprenorphine,14
2010,WV,DODDRIDGE,Oxycodone,2
2010,OH,ERIE,Buprenorphine,5
2010,OH,ERIE,Propoxyphene,1
2010,PA,ERIE,Methadone,2
2010,VA,ESSEX,Hydromorphone,2
2010,VA,FAIRFAX,Fentanyl,2
2010,VA,FAIRFAX,Oxycodone,167
2010,VA,ACCOMACK,Oxycodone,1
2010,KY,ADAIR,Methadone,1
2010,PA,ADAMS,Oxymorphone,1
2010,VA,ALBEMARLE,Hydrocodone,7
2010,VA,ALBEMARLE,Oxycodone,3
2010,VA,ALLEGHANY,Hydrocodone,13
2010,VA,ALLEGHANY,Tramadol,1
2010,PA,ALLEGHENY,Fentanyl,3
2010,PA,ALLEGHENY,Morphine,20
2010,OH,ALLEN,Oxycodone,51
2010,VA,AMELIA,Hydrocodone,2
2010,VA,AMHERST,Hydromorphone,5
2010,VA,ARLINGTON,Morphine,6
2010,OH,ASHLAND,Codeine,1
2010,OH,AUGLAIZE,Hydrocodone,4
2010,VA,AUGUSTA,Propoxyphene,1
2010,KY,BARREN,Hydromorphone,3
2010,KY,BARREN,Methadone,2
2010,VA,BATH,Oxycodone,2
2010,PA,BEAVER,Codeine,2
2010,PA,BEAVER,Oxymorphone,2
2010,PA,BEDFORD,Buprenorphine,6
2010,VA,BEDFORD,Hydromorphone,2
2010,KY,BELL,Buprenorphine,11
2010,OH,BELMONT,Codeine,1
2010,WV,BERKELEY,Heroin,146
2010,VA,BLAND,Hydrocodone,4
2010,VA,BLAND,Oxycodone,4
2010,KY,BOONE,Heroin,47
2010,KY,BOONE,Propoxyphene,1
2010,KY,BOURBON,Morphine,3
2010,KY,BOYD,Heroin,5
2010,KY,BOYD,Hydrocodone,21
2010,KY,BOYLE,Hydrocodone,21
2010,KY,BOYLE,Oxycodone,31
2010,KY,BREATHITT,Heroin,4
2010,VA,BRISTOL,Morphine,13
2010,OH,BROWN,Morphine,5
2010,VA,BUCHANAN,Hydrocodone,23
2010,PA,BUCKS,Codeine,13
2010,VA,BUENA VISTA CITY,Oxycodone,2
2010,KY,BULLITT,Morphine,1
2010,KY,CALLOWAY,Oxycodone,1
2010,PA,CAMERON,Buprenorphine,1
2010,KY,CAMPBELL,Buprenorphine,5
2010,VA,CAMPBELL,Oxycodone,6
2010,VA,CAMPBELL,Oxymorphone,1
2010,VA,CARROLL,Hydrocodone,12
2010,KY,CARTER,Hydromorphone,1
2010,KY,CARTER,Morphine,3
2010,KY,CARTER,Tramadol,2
2010,PA,CENTRE,Buprenorphine,11
2010,OH,CHAMPAIGN,Hydrocodone,17
2010,VA,CHARLOTTESVILLE CITY,Oxycodone,4
2010,VA,CHESAPEAKE CITY,Oxycodone,12
2010,PA,CHESTER,Hydrocodone,23
2010,PA,CHESTER,Oxycodone,82
2010,KY,CLARK,Morphine,1
2010,VA,CLARKE,Tramadol,1
2010,KY,CLAY,Oxycodone,39
2010,PA,CLEARFIELD,Oxycodone,13
2010,PA,CLEARFIELD,Oxymorphone,1
2010,OH,CLERMONT,Codeine,2
2010,KY,CLINTON,Morphine,1
2010,OH,CLINTON,Fentanyl,2
2010,OH,CLINTON,Morphine,5
2010,PA,CLINTON,Oxycodone,1
2010,VA,COLONIAL HEIGHTS CITY,Fentanyl,1
2010,VA,COLONIAL HEIGHTS CITY,Hydromorphone,2
2010,VA,COLONIAL HEIGHTS CITY,Methadone,1
2010,OH,COSHOCTON,Oxycodone,2
2010,VA,CRAIG,Hydrocodone,7
2010,PA,CRAWFORD,Morphine,12
2010,PA,CRAWFORD,Tramadol,1
2010,VA,CULPEPER,Oxycodone,34
2010,VA,CULPEPER,Oxymorphone,1
2010,KY,CUMBERLAND,Hydrocodone,3
2010,VA,CUMBERLAND,Hydrocodone,3
2010,OH,CUYAHOGA,Buprenorphine,36
2010,OH,DARKE,Morphine,2
2010,PA,DAUPHIN,Fentanyl,1
2010,PA,DAUPHIN,Hydromorphone,2
2010,PA,DAUPHIN,Morphine,12
2010,KY,DAVIESS,Oxycodone,3
2010,OH,DELAWARE,Morphine,4
2010,PA,DELAWARE,Tramadol,1
2010,VA,DICKENSON,Oxycodone,18
2010,VA,DICKENSON,Oxymorphone,1
2010,VA,DINWIDDIE,Hydrocodone,1
2010,KY,ELLIOTT,Heroin,1
2010,OH,ERIE,Hydrocodone,19
2010,OH,ERIE,Oxycodone,40
2010,OH,ERIE,Oxymorphone,4
2010,PA,ERIE,Codeine,5
2010,VA,ESSEX,Morphine,1
2010,VA,FAIRFAX,Codeine,5
2010,VA,FAIRFAX,Methorphan,1
2010,VA,FAIRFAX CITY,Hydrocodone,2
2010,VA,FAIRFAX CITY,Methorphan,2
2010,OH,FAIRFIELD,Heroin,186
2010,VA,ALBEMARLE,Heroin,4
2010,VA,ALEXANDRIA CITY,Methadone,2
2010,VA,ALLEGHANY,Fentanyl,3
2010,VA,ALLEGHANY,Methadone,4
2010,PA,ALLEGHENY,Oxycodone,280
2010,PA,ALLEGHENY,Propoxyphene,10
2010,OH,ALLEN,Fentanyl,1
2010,OH,ALLEN,Propoxyphene,2
2010,VA,AMHERST,Codeine,3
2010,VA,AMHERST,Morphine,1
2010,KY,ANDERSON,Buprenorphine,1
2010,KY,ANDERSON,Hydrocodone,7
2010,KY,ANDERSON,Morphine,3
2010,PA,ARMSTRONG,Oxycodone,4
2010,PA,ARMSTRONG,Oxymorphone,2
2010,OH,ATHENS,Morphine,4
2010,VA,AUGUSTA,Oxycodone,9
2010,KY,BARREN,Oxycodone,11
2010,KY,BATH,Methadone,1
2010,PA,BEAVER,Hydrocodone,9
2010,VA,BEDFORD CITY,Oxycodone,1
2010,KY,BELL,Hydromorphone,1
2010,OH,BELMONT,Oxycodone,19
2010,WV,BERKELEY,Oxycodone,9
2010,PA,BERKS,Fentanyl,1
2010,PA,BERKS,Heroin,172
2010,PA,BLAIR,Tramadol,1
2010,VA,BOTETOURT,Buprenorphine,2
2010,VA,BOTETOURT,Hydrocodone,9
2010,KY,BOURBON,Hydrocodone,2
2010,KY,BOYD,Methadone,5
2010,PA,BRADFORD,Buprenorphine,1
2010,PA,BRADFORD,Codeine,2
2010,PA,BRADFORD,Hydrocodone,13
2010,PA,BRADFORD,Morphine,4
2010,KY,BREATHITT,Buprenorphine,3
2010,KY,BREATHITT,Hydrocodone,17
2010,KY,BREATHITT,Morphine,4
2010,VA,BUCHANAN,Oxycodone,98
2010,PA,BUCKS,Fentanyl,2
2010,PA,BUCKS,Heroin,618
2010,PA,BUCKS,Propoxyphene,3
2010,PA,BUCKS,Tramadol,27
2010,KY,BULLITT,Oxycodone,71
2010,KY,BULLITT,Oxymorphone,2
2010,OH,BUTLER,Methadone,17
2010,WV,CALHOUN,Hydrocodone,1
2010,WV,CALHOUN,Morphine,1
2010,PA,CAMBRIA,Hydrocodone,13
2010,VA,CAMPBELL,Fentanyl,1
2010,VA,CAROLINE,Hydromorphone,1
2010,OH,CARROLL,Buprenorphine,1
2010,VA,CARROLL,Heroin,2
2010,KY,CARTER,Buprenorphine,4
2010,KY,CARTER,Hydrocodone,17
2010,OH,CHAMPAIGN,Fentanyl,1
2010,OH,CHAMPAIGN,Heroin,37
2010,VA,CHARLOTTE,Codeine,1
2010,VA,CHARLOTTE,Hydrocodone,2
2010,VA,CHARLOTTESVILLE CITY,Heroin,3
2010,VA,CHESAPEAKE CITY,Buprenorphine,7
2010,VA,CHESAPEAKE CITY,Codeine,2
2010,VA,CHESAPEAKE CITY,Hydrocodone,14
2010,PA,CHESTER,Codeine,5
2010,VA,CHESTERFIELD,Heroin,69
2010,VA,CHESTERFIELD,Methadone,6
2010,KY,CHRISTIAN,Oxycodone,19
2010,PA,CLARION,Buprenorphine,7
2010,PA,CLARION,Morphine,5
2010,KY,CLARK,Methadone,8
2010,VA,CLARKE,Heroin,4
2010,PA,CLEARFIELD,Methadone,1
2010,OH,CLERMONT,Fentanyl,1
2010,OH,CLERMONT,Heroin,167
2010,OH,CLINTON,Buprenorphine,7
2010,OH,CLINTON,Hydrocodone,17
2010,PA,CLINTON,Propoxyphene,1
2010,OH,COLUMBIANA,Buprenorphine,2
2010,OH,COLUMBIANA,Morphine,2
2010,VA,CRAIG,Heroin,12
2010,VA,CRAIG,Methadone,2
2010,OH,CRAWFORD,Heroin,48
2010,OH,CRAWFORD,Propoxyphene,2
2010,PA,CRAWFORD,Methadone,1
2010,PA,CUMBERLAND,Oxycodone,5
2010,VA,CUMBERLAND,Heroin,2
2010,OH,CUYAHOGA,Codeine,12
2010,OH,CUYAHOGA,Morphine,21
2010,OH,DEFIANCE,Methadone,2
2010,OH,DELAWARE,Oxycodone,82
2010,PA,DELAWARE,Methorphan,6
2010,VA,DICKENSON,Methadone,2
2010,VA,DINWIDDIE,Oxycodone,8
2010,PA,ELK,Oxycodone,6
2010,VA,EMPORIA CITY,Oxycodone,25
2010,PA,ERIE,Oxycodone,54
