Date,Fruit,Sale
2019-04-18,Peach,15
2019-12-29,Peach,15
2019-06-05,Peach,19
2019-10-28,Pear,19
2019-06-11,Peach,5
2019-05-19,Grape,17
2019-03-25,Banana,7
2019-09-02,Peach,3
2019-06-24,Banana,27
2019-12-19,Peach,9
2019-05-08,Peach,0
2019-12-12,Pear,29
2019-06-16,Grape,28
2019-01-25,Peach,5
2019-09-30,Peach,14
2019-07-18,Peach,16
2019-02-26,Banana,21
2019-08-11,Grape,25
2019-03-29,Grape,20
2019-02-26,Peach,20
2019-06-07,Peach,15
2019-12-16,Apple,27
2019-09-16,Peach,14
2019-08-14,Peach,27
2019-08-12,Peach,24
2019-07-09,Grape,13
2019-11-18,Peach,1
2019-05-05,Apple,17
2019-04-22,Grape,29
2019-08-11,Pear,2
2019-01-12,Grape,11
2019-03-09,Banana,4
2019-01-06,Pear,10
2019-05-27,Peach,26
2019-06-07,Grape,4
2019-03-08,Grape,16
2019-08-08,Grape,4
2019-09-16,Pear,7
2019-02-04,Banana,23
2019-08-07,Apple,12
2019-01-22,Banana,15
2019-08-21,Pear,20
2019-03-17,Grape,1
2019-11-13,Pear,18
2019-12-06,Peach,6
2019-10-31,Pear,4
2019-01-15,Banana,20
2019-04-06,Grape,25
2019-08-08,Peach,9
2019-12-24,Apple,3
2019-12-22,Peach,26
2019-03-29,Peach,12
2019-06-19,Pear,8
2019-10-04,Pear,15
2019-08-28,Banana,22
2019-03-17,Grape,25
2019-04-07,Peach,14
2019-07-15,Peach,12
2019-10-18,Pear,18
2019-04-24,Apple,18
2019-04-24,Apple,18
2019-09-17,Apple,0
2019-03-31,Pear,20
2019-03-25,Grape,29
2019-03-19,Banana,20
2019-01-13,Peach,6
2019-01-04,Peach,29
2019-01-19,Grape,16
2019-02-21,Peach,9
2019-04-10,Pear,7
2019-11-16,Apple,7
2019-04-07,Peach,21
2019-06-04,Grape,0
2019-10-04,Pear,11
2019-09-23,Grape,12
2019-02-24,Grape,6
2019-09-08,Pear,7
2019-01-27,Peach,13
2019-01-11,Grape,6
2019-01-11,Pear,21
2019-03-12,Peach,12
2019-11-11,Apple,9
2019-02-24,Apple,28
2019-08-21,Grape,9
2019-10-11,Pear,29
2019-01-06,Pear,7
2019-11-04,Pear,8
2019-11-29,Grape,22
2019-03-24,Peach,12
2019-06-04,Peach,9
2019-11-18,Grape,23
2019-04-15,Pear,10
2019-02-22,Banana,26
2019-11-17,Pear,4
2019-08-20,Peach,16
2019-05-23,Pear,18
2019-05-28,Peach,14
2019-02-11,Pear,2
2019-04-08,Peach,0
2019-04-19,Grape,12
2019-05-01,Peach,7
2019-10-05,Pear,20
2019-11-26,Banana,7
2019-01-19,Apple,11
2019-07-28,Peach,19
2019-07-01,Pear,9
2019-09-22,Pear,28
2019-06-29,Grape,15
2019-02-18,Grape,24
2019-05-08,Apple,1
2019-12-06,Peach,16
2019-07-14,Banana,22
2019-10-20,Grape,5
2019-10-14,Grape,19
2019-03-02,Apple,14
2019-09-22,Pear,12
2019-01-05,Peach,24
2019-10-12,Grape,14
2019-03-26,Grape,0
2019-05-17,Grape,8
2019-10-06,Banana,12
2019-06-12,Pear,9
2019-05-21,Apple,18
2019-10-01,Grape,12
2019-01-05,Apple,16
2019-09-11,Apple,6
2019-05-12,Grape,6
2019-05-09,Pear,0
2019-01-31,Pear,28
2019-09-30,Grape,26
2019-08-27,Peach,10
2019-05-05,Pear,1
2019-11-16,Pear,1
2019-08-21,Pear,1
2019-02-27,Peach,17
2019-03-18,Banana,1
2019-06-24,Peach,16
2019-03-06,Apple,8
2019-09-13,Peach,25
2019-10-07,Grape,0
2019-10-17,Apple,1
2019-12-24,Peach,29
2019-08-26,Banana,22
2019-03-23,Banana,6
2019-06-19,Pear,11
2019-06-15,Peach,22
2019-11-06,Grape,2
2019-09-25,Peach,26
2019-10-13,Pear,10
2019-09-19,Peach,15
2019-03-06,Grape,27
2019-09-11,Grape,3
2019-12-30,Banana,16
2019-04-26,Peach,14
2019-04-01,Banana,22
2019-12-16,Grape,14
2019-04-10,Peach,2
2019-01-15,Peach,12
2019-09-26,Peach,13
2019-09-25,Pear,27
2019-02-10,Peach,0
2019-12-19,Grape,8
2019-03-14,Apple,7
2019-10-24,Apple,27
2019-05-26,Peach,2
2019-12-24,Banana,24
2019-04-01,Banana,2
2019-05-19,Apple,13
2019-09-05,Grape,1
2019-04-12,Peach,10
2019-02-23,Peach,0
2019-05-25,Pear,6
2019-05-24,Grape,9
2019-07-19,Grape,0
2019-01-27,Peach,10
2019-04-30,Apple,3
2019-11-12,Grape,4
2019-04-06,Apple,19
2019-02-01,Grape,16
2019-02-04,Banana,22
2019-09-10,Grape,7
2019-07-02,Grape,16
2019-02-21,Apple,22
2019-10-14,Grape,8
2019-01-18,Banana,25
2019-11-17,Apple,19
2019-12-17,Grape,11
2019-05-23,Pear,10
2019-11-06,Apple,7
2019-10-01,Pear,21
2019-01-16,Peach,21
2019-01-17,Peach,8
2019-12-04,Pear,9
2019-08-15,Pear,11
2019-12-11,Banana,1
2019-08-05,Pear,4
2019-11-15,Banana,21
2019-12-14,Peach,18
2019-01-13,Peach,19
2019-01-11,Pear,8
2019-03-14,Peach,26
2019-08-17,Peach,17
2019-07-22,Grape,3
2019-11-03,Peach,21
2019-02-14,Peach,5
2019-10-20,Grape,27
2019-08-08,Peach,17
2019-03-19,Grape,19
2019-12-28,Apple,10
2019-12-24,Pear,26
2019-08-20,Pear,19
2019-08-17,Banana,8
2019-12-02,Peach,4
2019-02-28,Grape,13
2019-02-15,Grape,27
2019-11-11,Pear,2
2019-02-09,Peach,0
2019-12-04,Apple,13
2019-07-29,Peach,25
2019-04-26,Apple,28
2019-03-05,Peach,11
2019-07-23,Banana,4
2019-06-09,Pear,2
2019-09-28,Peach,23
2019-06-16,Apple,20
2019-08-05,Apple,7
2019-11-25,Grape,28
2019-08-24,Peach,10
2019-08-11,Grape,29
2019-08-02,Peach,15
2019-05-28,Grape,12
2019-09-08,Apple,23
2019-03-01,Banana,0
2019-04-05,Banana,3
2019-04-07,Peach,13
2019-12-21,Grape,22
2019-09-21,Apple,11
2019-09-05,Banana,27
2019-01-10,Grape,22
2019-12-23,Apple,0
2019-08-08,Grape,9
2019-02-11,Grape,2
2019-07-14,Apple,8
2019-02-18,Grape,19
2019-06-16,Peach,12
2019-01-24,Apple,21
2019-06-07,Apple,10
2019-05-14,Peach,17
2019-08-17,Peach,29
2019-06-02,Grape,7
2019-10-25,Peach,18
2019-11-05,Grape,9
2019-02-15,Grape,14
2019-10-23,Pear,19
2019-05-06,Apple,5
2019-06-05,Apple,29
2019-10-05,Peach,14
2019-12-21,Peach,16
2019-03-24,Banana,8
2019-06-18,Pear,29
2019-09-30,Banana,3
2019-08-25,Peach,5
2019-05-19,Grape,27
2019-08-23,Grape,2
2019-03-01,Pear,12
2019-09-08,Grape,10
2019-06-05,Pear,11
2019-01-31,Grape,11
2019-01-24,Pear,6
2019-12-16,Apple,26
2019-09-22,Grape,8
2019-03-22,Grape,13
2019-09-23,Apple,0
2019-05-29,Grape,20
2019-02-19,Grape,27
2019-06-08,Peach,2
2019-01-12,Banana,3
2019-05-23,Peach,9
2019-10-10,Peach,18
2019-01-09,Peach,16
2019-04-06,Pear,9
2019-12-05,Apple,5
2019-05-09,Grape,17
2019-08-27,Pear,6
2019-02-17,Peach,21
2019-04-16,Pear,10
2019-03-27,Grape,2
2019-03-29,Peach,0
2019-04-08,Pear,26
2019-02-24,Peach,8
2019-07-13,Peach,15
2019-12-07,Peach,23
2019-01-23,Peach,4
2019-03-09,Banana,24
2019-08-27,Banana,14
2019-09-22,Peach,14
2019-06-23,Pear,21
2019-09-17,Grape,25
2019-11-30,Pear,20
2019-08-14,Grape,24
2019-03-04,Peach,13
2019-05-09,Peach,21
2019-08-28,Pear,12
2019-03-09,Grape,23
2019-10-11,Pear,0
2019-11-20,Peach,9
2019-09-01,Grape,14
2019-06-26,Pear,6
2019-10-19,Banana,16
2019-09-15,Apple,29
2019-02-06,Peach,25
2019-07-12,Grape,12
2019-02-09,Peach,24
2019-07-06,Peach,0
2019-06-09,Apple,12
2019-01-10,Apple,13
2019-11-06,Peach,23
2019-05-08,Pear,23
2019-05-30,Peach,7
2019-12-06,Grape,15
2019-09-17,Grape,15
2019-11-05,Pear,15
2019-06-19,Peach,24
2019-07-11,Apple,14
2019-09-30,Apple,4
2019-06-17,Peach,16
2019-08-28,Pear,27
2019-06-19,Peach,9
2019-01-22,Banana,12
2019-05-03,Peach,29
2019-06-22,Peach,1
2019-10-19,Grape,9
2019-10-20,Peach,26
2019-11-21,Banana,16
2019-04-12,Peach,22
2019-09-16,Banana,7
2019-04-27,Banana,2
2019-07-22,Banana,21
2019-01-21,Grape,16
2019-09-10,Grape,7
2019-07-07,Pear,11
2019-11-08,Peach,1
2019-11-21,Grape,6
2019-07-23,Apple,23
2019-01-22,Pear,6
2019-01-16,Grape,21
2019-09-16,Peach,21
2019-04-02,Banana,0
2019-03-02,Grape,12
2019-09-04,Pear,2
2019-03-23,Peach,15
2019-02-08,Peach,20
2019-10-07,Peach,3
2019-03-06,Apple,4
2019-03-30,Apple,19
2019-04-25,Peach,14
2019-12-02,Peach,17
2019-02-17,Peach,14
2019-12-29,Peach,3
2019-07-21,Grape,8
2019-05-06,Pear,17
2019-05-19,Banana,19
2019-03-25,Peach,25
2019-07-18,Apple,15
2019-12-25,Apple,24
2019-06-19,Grape,27
2019-09-03,Grape,9
2019-06-20,Grape,16
