ID号,识别码,类别
ID 000001,CRtXJUK,T1
ID 000002,RGSxifC,Q1
ID 000003,AboduTp,S1
ID 000004,zlpUeMl,S2
ID 000005,IVQqhIK,S3
ID 000006,zRVVSTY,S1
ID 000007,fsnABMY,Q1
ID 000008,LnbDjRs,S1
ID 000009,lxBblQm,T1
ID 000010,mcJhAWU,Q1
ID 000011,aFGMHBq,T2
ID 000012,mCgwKDe,T1
ID 000013,FhnxayU,T2
ID 000014,GEgzwbs,S2
ID 000015,hnupVKa,S1
ID 000016,kTUldKz,S2
ID 000017,GCdzTRF,T2
ID 000018,xVywdsz,Q2
ID 000019,KYddqmm,S3
ID 000020,aEHXpdf,S1
ID 000021,GaEPvlA,T1
ID 000022,ZALCFnb,Q1
ID 000023,qPPHqpV,T2
ID 000024,tKvkTkG,Q2
ID 000025,jrSUrKH,S3
ID 000026,QdgJKLq,Q2
ID 000027,iOxBsDi,T1
ID 000028,MwZGiUr,T1
ID 000029,uhMfcWm,T2
ID 000030,wBOoTJe,S1
ID 000031,LGmQlgk,T2
ID 000032,ZUaiSmb,S1
ID 000033,KmLAiTw,S3
ID 000034,tJWtiYZ,T2
ID 000035,NKixtBn,T2
ID 000036,VgVIQqs,T1
ID 000037,LmgYKat,S1
ID 000038,ysAjYBD,Q1
ID 000039,ntyYKoU,Q1
ID 000040,ErEixWQ,S1
ID 000041,AgEYCJs,S2
ID 000042,kWJpAVK,T2
ID 000043,ecIMcig,S2
ID 000044,CHzCveJ,T1
ID 000045,TiquGOB,S1
ID 000046,hnllGeM,S2
ID 000047,EfrXWVe,S3
ID 000048,EbXjCYX,Q2
ID 000049,fhQmaMF,S3
ID 000050,RCdvQnK,S1
ID 000051,nRkdWUv,S3
ID 000052,ukKptjW,S1
ID 000053,jSOBhgA,T2
ID 000054,xyYrPnX,S1
ID 000055,KGjrdTu,Q1
ID 000056,tsHeYrR,S2
ID 000057,Arlifyg,Q1
ID 000058,xLNVrhm,Q1
ID 000059,FaYfTJC,S2
ID 000060,qntJROm,Q1
ID 000061,qqRvQpe,T2
ID 000062,VqxMRYg,S2
ID 000063,FyaHzyi,Q2
ID 000064,JJOSjcj,Q2
ID 000065,GnxPABG,S3
ID 000066,siwgEYx,S2
ID 000067,VylhDyH,Q2
ID 000068,UrgYSFR,S1
ID 000069,zeKsrnU,T2
ID 000070,ASCCwVr,Q2
ID 000071,MsjYzzP,S1
ID 000072,TGEToUd,S2
ID 000073,LZNIGwJ,S2
ID 000074,uWOhTvq,T1
ID 000075,EDZBGCI,Q1
ID 000076,wNwVqLV,T2
ID 000077,KOjPpWe,S3
ID 000078,YjWPbox,T1
ID 000079,RBRGkbl,S3
ID 000080,JlcqRUo,S1
ID 000081,nvuYsed,Q1
ID 000082,SKXZeuj,S1
ID 000083,VuQBTXN,T2
ID 000084,AUnWrbm,T2
ID 000085,tZHWBWZ,T1
ID 000086,SpurKVD,Q1
ID 000087,hZPHBFD,T2
ID 000088,LZCVesa,T1
ID 000089,dFUwKiD,S2
ID 000090,HCzYnhM,S2
ID 000091,GcZgYyK,T2
ID 000092,zjdmNIH,S3
ID 000093,GdCENXB,T2
ID 000094,nVHmKWj,Q2
ID 000095,xhzKmFz,T1
ID 000096,nNtLzaf,Q2
ID 000097,NnDKtXK,S3
ID 000098,skMzCDB,T1
ID 000099,DGaVoni,T1
ID 000100,yPHauXD,S3
ID 000101,aTSCklt,T1
ID 000102,EcumnNz,S1
ID 000103,vFywdKt,Q1
ID 000104,MVSMWuW,Q1
ID 000105,ZvHLoqj,Q2
ID 000106,YIIcsam,T1
ID 000107,vqEJEcF,S1
ID 000108,yGCoEXW,S1
ID 000109,BeYuubS,S2
ID 000110,HFRSBgW,Q1
ID 000111,IVgIkHM,S2
ID 000112,PaJbRyQ,S2
ID 000113,gEFqisz,S1
ID 000114,BgwoEvX,T1
ID 000115,KORNdVG,Q2
ID 000116,aqEOXHm,S3
ID 000117,ztUMGRU,T2
ID 000118,VbglFFO,Q2
ID 000119,dWkDTBw,S3
ID 000120,umGEhRO,Q1
ID 000121,MbkGrkg,S2
ID 000122,YdnkZRL,S3
ID 000123,QCgGJOz,Q2
ID 000124,EVpoXCN,T2
ID 000125,QEOmskO,T2
ID 000126,WXVggmo,T2
ID 000127,NtEDmTd,S1
ID 000128,IoIvfIf,Q1
ID 000129,KbopHHO,S3
ID 000130,CEbPmrq,Q1
ID 000131,ejzfxwl,T2
ID 000132,OmSQRcL,S3
ID 000133,dCwJMjF,S2
ID 000134,RKtUlzV,T1
ID 000135,gAYbSDa,Q1
ID 000136,aKOribB,S1
ID 000137,bfuXLAg,T1
ID 000138,soNwqKe,Q1
ID 000139,daBBhDZ,T2
ID 000140,FOCZYkV,S3
ID 000141,epkUYuW,S1
ID 000142,CoxxXzz,Q1
ID 000143,YxTWigx,S1
ID 000144,PVftDAJ,S1
ID 000145,cyViHhR,Q1
ID 000146,FzQpEXA,T2
ID 000147,pinpuDl,S3
ID 000148,MvhQeZu,Q1
ID 000149,mwbgPoL,S1
ID 000150,wPyeibo,T2
ID 000151,FybMoiT,S2
ID 000152,XVUnEkv,T1
ID 000153,vLGgiJh,S2
ID 000154,tUlUoYt,S1
ID 000155,IAqkpZh,S1
ID 000156,VfzDBDE,T2
ID 000157,BGpEzHg,S1
ID 000158,vCrmaiU,S3
ID 000159,QrYmQsH,T2
ID 000160,WpyRigb,T2
ID 000161,ILfgxIg,S1
ID 000162,CFXXuSI,S1
ID 000163,MVszEHx,S2
ID 000164,toBOuZw,T2
ID 000165,MyUGjQu,S2
ID 000166,mWdYpnV,S2
ID 000167,tJVtksm,T1
ID 000168,WXkISnO,T1
ID 000169,rmdBQzw,S2
ID 000170,MbhGdHG,S1
ID 000171,MgFlcYg,T2
ID 000172,SnKfsDZ,Q1
ID 000173,SSwguPw,S3
ID 000174,ZKGlKNn,S2
ID 000175,GKiRSJh,T1
ID 000176,iLaiiiQ,S3
ID 000177,nWGzvkY,Q2
ID 000178,esxfexd,S3
ID 000179,qpdpOmS,T2
ID 000180,mwPrpsf,Q2
ID 000181,IZmrfDA,S3
ID 000182,IGizqUR,S1
ID 000183,vcNkBBa,S2
ID 000184,LgPxsUZ,Q1
ID 000185,wefrxKb,T2
ID 000186,WaAlscu,Q2
ID 000187,xGvijKo,T2
ID 000188,OzLvMOx,T1
ID 000189,HgVDvyZ,S3
ID 000190,duTmYxI,T1
ID 000191,ioNWVBX,S2
ID 000192,WPuAPRb,S1
ID 000193,NKorNfE,Q1
ID 000194,ebdkPZJ,S2
ID 000195,yfqMXqa,S2
ID 000196,LqHXoAk,S1
ID 000197,cNIGsVT,T1
ID 000198,trUVClB,S1
ID 000199,bUmmkYY,T2
ID 000200,GQERaRG,T2
ID 000201,mBZglLv,T2
ID 000202,LyEhMMx,Q2
ID 000203,ozmYNtJ,S3
ID 000204,jUsztuj,Q1
ID 000205,nKcrbqC,Q1
ID 000206,bgKojMu,S1
ID 000207,gSyLHjM,Q2
ID 000208,GmphaAs,S3
ID 000209,iCiREJW,Q1
ID 000210,VLwioIh,S1
ID 000211,DBtEVAS,Q1
ID 000212,EYDPUxh,S3
ID 000213,YohnSfb,Q2
ID 000214,HQjQTSy,S3
ID 000215,cGDBUKT,S1
ID 000216,ScSjIor,Q1
ID 000217,sxkkzGp,T2
ID 000218,CpKVMMg,T2
ID 000219,GSDYQaK,S3
ID 000220,ihlYNuF,T1
ID 000221,yWBXlXO,S2
ID 000222,DZrGoHB,S1
ID 000223,qKZSMdD,Q1
ID 000224,ThwtfHl,T2
ID 000225,kiLLndY,S3
ID 000226,jdKwNzF,Q2
ID 000227,hYjpYpb,S3
ID 000228,arxSmRI,T2
ID 000229,kMzzxBx,S3
ID 000230,nNMeqMy,T2
ID 000231,qNgnreJ,T2
ID 000232,OLTfEdX,S3
ID 000233,BcrhYdt,T1
ID 000234,XmgbUkG,S3
ID 000235,KIuvtei,T1
ID 000236,XLaSoHD,S3
ID 000237,AvzTQyo,T2
ID 000238,jrnSfMi,T2
ID 000239,SRjpfLb,S3
ID 000240,hZveGSQ,S2
ID 000241,DEkoJhA,T2
ID 000242,ZrAHJPc,Q2
ID 000243,KnLFaeM,S1
ID 000244,qqqyYeT,S1
ID 000245,foqHAno,S2
ID 000246,tIBacuM,T1
ID 000247,yMrrlvT,S2
ID 000248,flycoQd,T2
ID 000249,KRAUjJL,Q2
ID 000250,ndCbsRz,T2
ID 000251,NTnoVOS,S2
ID 000252,xUQirRh,Q1
ID 000253,kGOkwGo,Q2
ID 000254,YJAezDY,S2
ID 000255,ONorGwg,S3
ID 000256,nkfDMfo,T1
ID 000257,WnYCFqj,T1
ID 000258,lLzBkIC,T2
ID 000259,zpwPgFD,T1
ID 000260,GYRRXxN,T1
ID 000261,zMFMtkO,S3
ID 000262,yHGWzeT,T1
ID 000263,UzDWILP,Q2
ID 000264,VpgXSgu,T1
ID 000265,AtLeVec,S1
ID 000266,inWLpNs,Q2
ID 000267,ImfVYLF,S3
ID 000268,IsimBei,T1
ID 000269,HKWikxc,S3
ID 000270,olIkOcb,S3
ID 000271,ajnpUid,S2
ID 000272,ENDJSWS,S2
ID 000273,IaozbKX,Q2
ID 000274,jHLpzWH,S2
ID 000275,LuHoJPt,Q2
ID 000276,BbaSeOX,Q1
ID 000277,GUKlkqt,S3
ID 000278,tMFQDIs,T1
ID 000279,IgnCQVd,Q1
ID 000280,zIWOJBN,S1
ID 000281,EbtyerQ,S1
ID 000282,jLjKJzC,T2
ID 000283,zTFiuhq,Q2
ID 000284,zerrAjx,Q2
ID 000285,fAeApLE,T1
ID 000286,UXKYReS,T2
ID 000287,iYVgNeU,Q2
ID 000288,MHAIasF,S3
ID 000289,ruVcFJc,S1
ID 000290,NndavRC,S3
ID 000291,JFIQIKg,Q1
ID 000292,QjOpwjN,Q1
ID 000293,WHXFTju,T1
ID 000294,fwBMLdK,T1
ID 000295,RRgRomC,Q1
ID 000296,NOOcsEo,S2
ID 000297,ZDgnrgT,S3
ID 000298,sipijAl,S2
ID 000299,mXSCOGj,T2
ID 000300,qLbmIxm,Q2
ID 000301,AcWGfzp,S1
ID 000302,xumjyER,Q2
ID 000303,cIAzkFn,Q2
ID 000304,sWaDBCn,S1
ID 000305,qKkgPqj,S1
ID 000306,mKeonSI,S2
ID 000307,xjNmvEM,Q1
ID 000308,GAOeClA,T2
ID 000309,OTSBUzj,T2
ID 000310,EPcsjZR,S1
ID 000311,VVXrUMh,S2
ID 000312,bNojopC,S2
ID 000313,HLvuUCM,Q1
ID 000314,KZciCjK,Q2
ID 000315,ADdqUDJ,T2
ID 000316,QCGxHrW,S1
ID 000317,GDcNJwy,S1
ID 000318,fEDyvwd,T1
ID 000319,ViQfyHk,Q2
ID 000320,ZxfUBBB,S1
ID 000321,MfKUQlw,T2
ID 000322,ISypQNo,Q2
ID 000323,ARqdPkw,S2
ID 000324,nAFHEHV,T1
ID 000325,xoFNLys,S3
ID 000326,VMmhgGf,S2
ID 000327,TVvYTrY,S2
ID 000328,EIHQDOc,S1
ID 000329,pnOHxjx,S3
ID 000330,UmKWdmP,Q2
ID 000331,eKdTieO,S2
ID 000332,GhmognL,T2
ID 000333,yMJOuRp,T2
ID 000334,TJQQFGv,Q2
ID 000335,UuEutLD,S2
ID 000336,gEYgTFG,Q2
ID 000337,qWeziWh,Q2
ID 000338,rwTnOSJ,S1
ID 000339,TJiEWLD,T1
ID 000340,oumFXGE,T1
ID 000341,NGQlFib,S2
ID 000342,WWMbXth,S2
ID 000343,OOJIySG,S3
ID 000344,KBJGKeF,T2
ID 000345,rZhsegb,S1
ID 000346,ZGDexeg,T1
ID 000347,nVEjEKp,T2
ID 000348,woZtVhF,S1
ID 000349,tAiCdFy,S3
ID 000350,ZHRWcTu,S1
ID 000351,OnXkrRK,S1
ID 000352,tGZyKqN,S2
ID 000353,bDUhdtZ,Q1
ID 000354,HglpiRh,Q1
ID 000355,ZAYHtxk,T1
ID 000356,TEqTngl,S3
ID 000357,NsEkUSg,Q2
ID 000358,iebWrhx,Q1
ID 000359,GEMkigr,T1
ID 000360,XYWgKMV,Q2
ID 000361,zSQrDDc,Q2
ID 000362,EBrzoYe,Q2
ID 000363,GGRsuzS,S1
ID 000364,BxMcNBO,Q2
ID 000365,tsBJVWx,Q2
ID 000366,MsuYXox,S3
ID 000367,jsqLdDV,T2
ID 000368,cokliVo,S3
ID 000369,zEVHdhk,Q1
ID 000370,ItDxRyJ,Q2
ID 000371,RItWcjU,Q2
ID 000372,GzCjkbG,Q2
ID 000373,WqjlgvJ,S1
ID 000374,hoWVZRF,S2
ID 000375,SFiXJlf,S3
ID 000376,tTyaDmj,S2
ID 000377,iHpTVft,S1
ID 000378,fXMHBzh,S2
ID 000379,YdnzKOI,Q2
ID 000380,srbumuV,Q2
ID 000381,RUiTeUA,Q2
ID 000382,gdwpnYb,T1
ID 000383,AEPlcpR,S2
ID 000384,NwOOOUQ,S3
ID 000385,DFaIfqp,S2
ID 000386,ZHDAkRh,S2
ID 000387,VmXdYet,S2
ID 000388,bXVUzRk,T2
ID 000389,PeqZOST,S2
ID 000390,XGsVZiz,T1
ID 000391,JfgPadj,Q1
ID 000392,rywolvm,Q1
ID 000393,yVrUNdJ,S3
ID 000394,GgPCXsr,T1
ID 000395,zBNytjR,S3
ID 000396,IXXrcnp,S2
ID 000397,vRezEOP,T1
ID 000398,qnFBjSm,S1
ID 000399,gtwFnpN,S2
ID 000400,NvLTdyC,S3
ID 000401,bBNffkl,T1
ID 000402,izqJUQK,S3
ID 000403,RExmqHP,Q2
ID 000404,NWauBzj,S2
ID 000405,DbxUhLg,Q1
ID 000406,CCoFjlw,T1
ID 000407,tdbpbBR,T2
ID 000408,TlNKIcO,T2
ID 000409,AiTvboL,Q2
ID 000410,IfhbFXh,S1
ID 000411,TLCampM,Q1
ID 000412,wAbTmKs,S3
ID 000413,UWUGKDm,S1
ID 000414,yVGRMOT,Q1
ID 000415,BAAftUO,S2
ID 000416,GHGrzNM,Q2
ID 000417,FxExTkW,S3
ID 000418,yssKqBX,T2
