日期,销售额
2017/2/17,2154
2017/2/18,2095
2017/2/19,3459
2017/2/20,2198
2017/2/21,2413
2017/2/22,3090
2017/2/23,2192
2017/2/24,2356
2017/2/25,2840
2017/2/26,3279
2017/2/27,3497
2017/2/28,2167
2017/3/1,2084
2017/3/2,3386
2017/3/3,3415
2017/3/4,3175
2017/3/5,2742
2017/3/6,2319
2017/3/7,2091
2017/3/8,2112
2017/3/9,3516
2017/3/10,3073
2017/3/11,3205
2017/3/12,2327
2017/3/13,2460
2017/3/14,2358
2017/3/15,2438
2017/3/16,2703
2017/3/17,2226
2017/3/18,2198
2017/3/19,2836
2017/3/20,2086
2017/3/21,2219
2017/3/22,2122
2017/3/23,2082
2017/3/24,2458
2017/3/25,2132
2017/3/26,2606
2017/3/27,2142
2017/3/28,2317
2017/3/29,2941
2017/3/30,2943
2017/3/31,3288
2017/4/1,2566
2017/4/2,2164
2017/4/3,2426
2017/4/4,2209
2017/4/5,2426
2017/4/6,2099
2017/4/7,2159
2017/4/8,2599
2017/4/9,2342
2017/4/10,2357
2017/4/11,2409
2017/4/12,2255
2017/4/13,2237
2017/4/14,3300
2017/4/15,2469
2017/4/16,2617
2017/4/17,2319
2017/4/18,2120
2017/4/19,2591
2017/4/20,3028
2017/4/21,3417
2017/4/22,2340
2017/4/23,2651
2017/4/24,3060
2017/4/25,2727
2017/4/26,2682
2017/4/27,2727
2017/4/28,2131
2017/4/29,2182
2017/4/30,2125
2017/5/1,2457
2017/5/2,2251
2017/5/3,2774
2017/5/4,2694
2017/5/5,2851
2017/5/6,2448
2017/5/7,2292
2017/5/8,2283
2017/5/9,2440
2017/5/10,2954
2017/5/11,3375
2017/5/12,2164
2017/5/13,2124
2017/5/14,2281
2017/5/15,2213
2017/5/16,2106
2017/5/17,3266
2017/5/18,3421
2017/5/19,2957
2017/5/20,2293
2017/5/21,3501
2017/5/22,3315
2017/5/23,2810
2017/5/24,3530
2017/5/25,2202
2017/5/26,3823
2017/5/27,3885
2017/5/28,2148
2017/5/29,2490
2017/5/30,2257
2017/5/31,2114
2017/6/1,2535
2017/6/2,2812
2017/6/3,2883
2017/6/4,2611
2017/6/5,2238
2017/6/6,2285
2017/6/7,3893
2017/6/8,2423
2017/6/9,2124
2017/6/10,2253
2017/6/11,2601
2017/6/12,3280
2017/6/13,3119
2017/6/14,2487
2017/6/15,2757
2017/6/16,3156
2017/6/17,2473
2017/6/18,2847
2017/6/19,2443
2017/6/20,2297
2017/6/21,3459
2017/6/22,2641
2017/6/23,2308
2017/6/24,2386
2017/6/25,3611
2017/6/26,2572
2017/6/27,2302
2017/6/28,2947
2017/6/29,2653
2017/6/30,2354
2017/7/1,2140
2017/7/2,2602
2017/7/3,2411
2017/7/4,2697
2017/7/5,2296
2017/7/6,2461
2017/7/7,3179
2017/7/8,2154
2017/7/9,2616
2017/7/10,3311
2017/7/11,2912
2017/7/12,3271
2017/7/13,2392
2017/7/14,2858
2017/7/15,3152
