课程名字,课程类别,学分,分数
线性代数,学科基础课,3,97
程序设计,学科基础课,4,84
高等数学（一）,学科基础课,4,99
高等数学（二）,学科基础课,4,92
离散数学,学科基础课,4,82
数据科学与工程导论,学科基础课,3,76
数据结构与算法,学科基础课,5,82
专业英语,学科基础课,2,100
概率论,学科基础课,3,99
计算机系统,专业必修课,4,80
数据科学与工程算法,专业必修课,3,99
人工智能导论,专业必修课,3,84
数据科学的数学基础,专业必修课,4,75
操作系统,专业必修课,4,89
分布式模型与编程,专业必修课,4,81
数据挖掘,专业必修课,4,71
数据管理系统,专业必修课,6,70
统计与数据分析基础,专业必修课,4,82
商业分析,专业必修课,3,70
数据伦理,专业必修课,1,80
大数据应用案例,专业必修课,3,91
设计思维,专业选修课,3,73
统计分析软件（R语言）,专业选修课,3,83
软件工程,专业选修课,3,91
数据仓库与OLAP,专业选修课,3,94
数据库系统实现,专业选修课,3,98
电子商务,专业选修课,3,74
大数据处理工具,专业选修课,3,73
机器学习,专业选修课,3,88
高等统计选讲,专业选修课,3,87
统计推断,专业选修课,3,75
信息检索,专业选修课,3,93
信息可视化,专业选修课,3,93
云计算应用与开发,专业选修课,3,96
开源软件设计与开发,专业选修课,3,81
自然语言处理,专业选修课,3,80
统计学习,专业选修课,3,81
推荐系统,专业选修课,3,97
位置服务,专业选修课,3,87
社会计算,专业选修课,3,78
智慧城市,专业选修课,3,77
计算广告,专业选修课,3,99
前端设计与开发,专业选修课,3,90
计算机视觉,专业选修课,3,87
深度学习,专业选修课,3,75
概率图模型,专业选修课,3,96
学术英语听说（一）,英语类,2,85
学术英语听说（二）,英语类,2,92
学术英语阅读,英语类,2,72
学术英语写作,英语类,2,98
美国社会与文化,英语类,2,77
毛泽东思想和中国特色社会主义理论体系概论（一）,思政类,3,99
毛泽东思想和中国特色社会主义理论体系概论（二）,思政类,3,93
思想道德修养与法律基础,思政类,3,89
中国近代史纲要,思政类,3,97
马克思主义基本原理概论,思政类,3,95
军事理论,思政类,2,87
程序正义与经典案例解析,精品课程,2,76
足球（初）,体育类,1,100
游泳（初）,体育类,1,75
篮球（初）,体育类,1,77
网球（初）,体育类,1,81
大学语文,文化传承类,2,100
极端性气候与陆地生态系统,公共任意选修类,2,78
环境可持续发展,公共任意选修类,2,76
现代交通地理学,公共任意选修类,2,88
植物王国,公共任意选修类,2,92
